ID,NAME,TYPE,PARENT_ID
864,Toronto,LC,1554
865,Bari,LC,1542
868,PNU,LC,1562
869,LAUSANNE,LC,1558
871,YEREVAN,LC,1541
872,COLOMBO NORTH,LC,1623
873,Mendoza,LC,1535
874,ITAM,LC,1589
877,EAU CLAIRE,LC,1621
878,Catania,LC,1542
880,ULB,LC,1624
881,MONTEVIDEO,LC,1614
883,LUBLIN UMCS,LC,1564
886,MAASTRICHT,LC,1598
888,TILBURG,LC,1598
889,COCODY-ABIDJAN,LC,1537
890,NANZAN UNIVERSITY,LC,1615
891,MEDINA,LC,1559
897,Buea,LC,1581
899,Alexandria,LC,1609
909,VITÓRIA,LC,1606
911,Puebla,LC,1589
915,CALI,LC,1551
919,Sagrado Corazon,LC,1538
923,UQAM,LC,1554
924,MCGILL,LC,1554
925,Taiwan SCU,LC,1561
930,Milano,LC,1542
931,UNIVERSITE CHEIKH ANTA DIOP,LC,1605
934,MCMASTER,LC,1554
940,Guanajuato,LC,1589
941,ADANA,LC,1622
943,GETÚLIO VARGAS,LC,1606
944,MICHIGAN,LC,1621
946,LC Yaounde,LC,1581
947,Uppsala,LC,1601
951,LSE,LC,1563
952,IFE,LC,1578
954,CARLETON,LC,1554
956,YALE,LC,1621
958,SANTA MARIA,LC,1606
963,Taiwan NCKU,LC,1561
965,NOTTINGHAM,LC,1563
966,UCAB,LC,1557
974,NKUA,LC,1555
986,BERN,LC,1558
988,FLORIANÓPOLIS,LC,1606
993,SANTIAGO DE CHILE,LC,1566
1000,Toronto Metropolitan University,LC,1554
1001,NAGOYA CITY UNIVERSITY,LC,1615
1003,USP,LC,1606
1004,Torino,LC,1542
1005,SHIGA UNIVERSITY,LC,1615
1008,SEATTLE,LC,1621
1012,SFAX,LC,1559
1013,UCL,LC,1563
1014,UCR,LC,577
1016,GUELPH,LC,1554
1017,Jos,LC,1578
1027,JYVÄSKYLÄ,LC,1620
1029,BRISTOL,LC,1563
1030,UNIVERSITY OF BOTSWANA,LC,1584
1031,Dubai,LC,1625
1032,LEUVEN,LC,1624
1034,University of Johannesburg,LC,1545
1035,Napoli Federico II,LC,1542
1036,NTU,LC,1575
1038,AALTO (Closed LC),LC,1620
1041,AMSTERDAM,LC,1598
1046,BOUAKE,LC,1537
1049,Cardiff,LC,1563
1050,OTAGO,LC,1616
1052,ANKARA,LC,1622
1054,IPN,LC,1589
1058,DOSHISHA UNIVERSITY,LC,1615
1059,WASHINGTON DC,LC,1621
1061,SIBIU,LC,1560
1063,Ilorin,LC,1578
1064,Cairo University,LC,1609
1065,ATLANTA,LC,1621
1066,Barquisimeto,LC,1557
1067,Rosario (Argentina),LC,1535
1069,Palermo (Closed),LC,1542
1075,UBC,LC,1554
1076,MANCHESTER,LC,1563
1081,MADISON,LC,1621
1083,NAGOYA UNIVERSITY,LC,1615
1090,Budapest Business School - KÜLKER,LC,1549
1091,AUSTIN,LC,1621
1092,Assumption University,LC,1607
1094,CHUO UNIVERSITY(CH),LC,1615
1095,Oulu,LC,1620
1099,USB,LC,1557
1102,Lund,LC,1601
1104,MEIJI UNIVERSITY,LC,1615
1106,Rabat,LC,1552
1107,SKOPJE,LC,1548
1110,HKU,LC,1594
1112,Gothenburg,LC,1601
1113,SAN JOSE,LC,1621
1114,Zagazig,LC,1609
1117,Pavia,LC,1542
1119,VICTORIA,LC,1554
1120,Napoli Parthenope (closed),LC,1542
1121,SALVADOR,LC,1606
1123,HOUSTON,LC,1621
1124,Reykjavik,LC,1550
1125,SHERBROOKE,LC,1554
1127,z.MANKATO // (Closed),LC,1621
1129,GENEVA,LC,1558
1132,WESTERN,LC,1554
1133,Chulalongkorn University,LC,1607
1135,SFU,LC,1554
1138,Bangkok University,LC,1607
1139,WITWATERSRAND (WITS),LC,1545
1141,UoN,LC,1617
1142,LEEDS,LC,1563
1143,DALLAS,LC,1621
1144,WASEDA UNIVERSITY,LC,1615
1148,BASEL - National Office,LC,1558
1150,HEC,LC,1554
1151,UNAND,LC,1539
1153,Rio Piedras,LC,1538
1154,Granada (CLOSED),LC,1619
1156,KEIO UNIVERSITY,LC,1615
1157,LA PAZ,LC,1593
1159,OSAKA METROPOLITAN UNIVERSITY,LC,1615
1160,AOYAMAGAKUIN UNIVERSITY,LC,1615
1162,ABEOKUTA,LC,1578
1163,HKUST,LC,1594
1165,Javeriana,LC,1551
1166,PORT HARCOURT,LC,1578
1168,Ciudad Juárez,LC,1589
1174,WINDSOR,LC,1554
1178,CURITIBA,LC,1606
1185,NIJMEGEN,LC,1598
1187,z. ARIZONA State University // (Closed),LC,1621
1191,INHA,LC,1562
1195,BELGRADE FON,LC,1547
1196,MANITOBA,LC,1554
1197,KWANSEI GAKUIN UNIVERSITY,LC,1615
1198,EAFIT,LC,1551
1199,KEIO SFC,LC,1615
1204,TAMPERE,LC,1620
1205,KOBE UNIVERSITY,LC,1615
1211,COCHABAMBA,LC,1593
1213,"Universiti Kebangsaan Malaysia (UKM) , Bangi",LC,1611
1214,Carthage,LC,1559
1215,URL,LC,1556
1217,"Universiti Putra Malaysia (UPM) , Serdang",LC,1611
1221,Zona Central,LC,1572
1231,Semarang,LC,1539
1235,NIS,LC,1547
1237,Zaria,LC,1578
1238,CALGARY,LC,1554
1239,Lagos,LC,1578
1240,ST GALLEN,LC,1558
1244,EASTERN MEDITERRANEAN,LC,1622
1248,BELO HORIZONTE,LC,1606
1249,Córdoba,LC,1535
1251,YORK,LC,1554
1253,Lingnan,LC,1594
1255,KOCAELI,LC,1622
1258,RZESZÓW,LC,1564
1260,BENIN,LC,1578
1267,BURSA,LC,1622
1269,Monterrey,LC,1589
1270,BARDO,LC,1559
1271,Maracaibo,LC,1557
1272,z. INDIANA // (Closed),LC,1621
1273,LJUBLJANA,LC,1587
1277,THYNA,LC,1559
1278,CONCORDIA,LC,1554
1279,NOVI SAD,LC,1547
1281,UoM THESSALONIKI,LC,1555
1285,FRIBOURG,LC,1558
1287,Querétaro,LC,1589
1289,Ancona (Closed),LC,1542
1290,Enugu,LC,1578
1293,Kasetsart University,LC,1607
1294,COLORADO,LC,1621
1296,Sevilla,LC,1619
1297,UMinho,LC,1544
1298,HKBU,LC,1594
1300,BRASÍLIA,LC,1606
1303,Helsingin Yliopisto (Closed LC),LC,1620
1305,GEORGIA (UGA),LC,1621
1306,LEGON,LC,1568
1308,SENDAI,LC,1615
1310,Taiwan FJU,LC,1561
1311,Mayaguez,LC,1538
1318,Queen's,LC,1554
1319,LAVAL,LC,1554
1321,PUCMM,LC,1599
1322,AAST In CAIRO,LC,1609
1324,SOPHIA UNIVERSITY,LC,1615
1326,Penang,LC,1611
1327,OTTAWA,LC,1554
1329,UTRECHT,LC,1598
1331,z. OHIO STATE // (Closed),LC,1621
1332,Bandung,LC,1539
1333,Warsaw UW,LC,1564
1335,HALIFAX,LC,1554
1340,COLOMBO SOUTH,LC,1623
1345,Bellaterra Barcelona,LC,1619
1347,UNIPI (Piraeus),LC,1555
1349,Belgrade Faculty of Economics (EF),LC,1547
1354,Gent,LC,1624
1357,Bilbao,LC,1619
1358,Taiwan YZU,LC,1561
1361,GAZIANTEP,LC,1622
1363,GLASGOW,LC,1563
1366,Douala,LC,1581
1367,SAINT PAUL'S UNIVERSITY,LC,1615
1370,Trento,LC,1542
1374,Guadalajara,LC,1589
1389,Venezia,LC,1542
1393,Mumbai,LC,1585
1394,MUENCHEN,LC,1596
1395,ANDES,LC,1551
1398,University of Malta,LC,1612
1399,Craiova,LC,1560
1403,PASSAU,LC,1596
1404,ODESA,LC,1610
1405,Banská Bystrica,LC,1536
1406,OSIJEK,LC,1595
1410,LEIPZIG,LC,1596
1411,Budapest Business School - PSZF,LC,1549
1412,LOUVAIN LA NEUVE,LC,1624
1414,LUENEBURG,LC,1596
1415,GOETTINGEN,LC,1596
1416,Budapest University - KÖZGÁZ,LC,1549
1418,Pune,LC,1585
1420,GIESSEN-MARBURG,LC,1596
1421,KOELN,LC,1596
1423,"WAIKATO, HAMILTON",LC,1616
1425,RIJEKA (Closed),LC,1595
1426,LODZ,LC,1564
1427,ORADEA,LC,1560
1428,Lisboa ISCTE,LC,1544
1429,VIENNA WU,LC,1592
1431,AIESEC in Split,LC,1595
1432,Pacifico,LC,1553
1434,GDANSK UG,LC,1564
1436,De La Salle University,LC,1604
1437,NOVOSIBIRSK - Expansion,LC,1618
1440,NUERNBERG,LC,1596
1441,HANNOVER,LC,1596
1442,BOCHUM,LC,1596
1445,Sofia UNWE,LC,1588
1446,"ENGEC-GUAP, Saint-Petersburg",LC,1618
1447,MAGDEBURG,LC,1596
1448,DUESSELDORF,LC,1596
1449,Chandigarh,LC,1585
1451,Wroclaw UT,LC,1564
1452,IVANO-FRANKIVSK,LC,1610
1453,Genova (Closed),LC,1542
1455,MOSCOW,LC,1618
1456,KAUNAS [Closed],LC,1580
